Ponto	Drenagem	Ab_BL	Ab_Body_elong	Ab_Eye_ver	Ab_Rel_eye	Ab_O_gape	Ab_Body_lat	Ab_pect	Ab_Pect_size	Ab_Caud_ped	Ab_Area.caud	Ab_Area_pec	Ab_rel_algivoro	Ab_rel_detritivoro	Ab_rel_invertivoro	Ab_rel_onivoro	Ab_rel_piscivoro	Riq_algivoro	Riq_detritivoro	Riq_invertivoro	Riq_onivoro	Riq_piscivoro	Riq_rel_detritivoro	Riq_rel_invertivoro	Riq_rel_onivoro	Riq_rel_piscivoro	Riq_total_especies	Riq_Characiformes	Riq_rel_Characiformes	Riq_Siluriformes	Riq_rel_Siluriformes	Riq_Siluri_Characi	Riq_rel_Siluri_Characi	Riq_Cyprinidontiformes	Riq_rel_Cyprinidontiformes	Riq_Gymnotiformes	Riq_rel_Gymnotiformes	Riq_Cicliformes	Riq_rel_Cicliformes	Riq_Poecilia_reticulata	Riq_rel_Poecilia_reticulata	 Riq_Callichthyidae	 Riq_rel_Callichthyidae	 Riq_Characidae	 Riq_rel_Characidae	 Riq_Curimatidae	 Riq_rel_Curimatidae	 Riq_Crenuchidae	 Riq_rel_Crenuchidae	 Riq_Erythrinidae	 Riq_rel_Erythrinidae	 Riq_rel_Gymnotidae	 Riq_Gymnotidae	 Riq_Heptapteridae	 Riq_rel_Heptapteridae	 Riq_Loricariidae	 Riq_rel_Loricariidae	 Riq_Poeciliidae	 Riq_rel_Poeciliidae	Ab_total_especies	Ab_rel_Characiformes	Ab_rel_Siluriformes	Ab_rel_Siluri_Characi	Ab_rel_Cyprinidontiformes	Ab_rel_Gymnotiformes	Ab_rel_Cicliformes	Ab_rel_Poecilia_reticulata	Ab_rel_Callichthyidae	Ab_rel_Characidae	Ab_rel_Curimatidae	Ab_rel_Crenuchidae	Ab_rel_Erythrinidae	Ab_rel_Gymnotidae	Ab_rel_Heptapteridae	Ab_rel_Loricariidae	Ab_rel_Poeciliidae
43	3	46.01	3.76	0.39	0.56	0.25	0.59	0.17	0.77	2.65	2.17	0.56	0.43	0.00	0.55	0.00	0.02	1.00	0.00	3.00	0.00	1.00	0.00	0.21	0.00	0.07	5.00	4.00	0.80	1.00	0.20	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.20	2.00	0.40	0.00	0.00	0.00	0.00	1.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	107.00	0.99	0.01	1.00	0.00	0.00	0.00	0.00	0.01	0.54	0.00	0.00	0.02	0.00	0.00	0.00	0.00
44	3	50.81	3.37	0.41	0.47	0.28	0.60	0.16	0.69	2.86	2.24	0.53	0.00	0.02	0.97	0.00	0.01	0.00	1.00	7.00	0.00	1.00	0.06	0.44	0.00	0.06	9.00	5.00	0.56	2.00	0.22	7.00	0.78	1.00	0.11	1.00	0.11	0.00	0.00	1.00	0.11	1.00	0.11	4.00	0.44	0.00	0.00	0.00	0.00	1.00	0.11	1.00	0.11	1.00	0.11	0.00	0.00	1.00	0.11	90.00	0.92	0.03	0.96	0.02	0.02	0.00	0.02	0.02	0.91	0.00	0.00	0.01	0.02	0.01	0.00	0.02
45	3	49.63	3.47	0.42	0.49	0.30	0.62	0.18	0.74	2.82	2.36	0.62	0.00	0.13	0.85	0.01	0.01	0.00	2.00	3.00	1.00	1.00	0.13	0.19	0.06	0.06	10.00	5.00	0.50	1.00	0.10	6.00	0.60	1.00	0.10	1.00	0.10	2.00	0.20	1.00	0.10	0.00	0.00	3.00	0.30	0.00	0.00	1.00	0.10	1.00	0.10	1.00	0.10	0.00	0.00	1.00	0.10	1.00	0.10	444.00	0.85	0.02	0.87	0.11	0.01	0.01	0.11	0.00	0.84	0.00	0.00	0.01	0.01	0.00	0.00	0.11
46	3	38.55	3.21	0.31	0.49	0.27	0.57	0.24	0.80	1.83	2.63	0.76	0.16	0.58	0.10	0.16	0.00	1.00	2.00	5.00	1.00	0.00	0.11	0.26	0.05	0.00	11.00	6.00	0.55	1.00	0.09	7.00	0.64	1.00	0.09	1.00	0.09	2.00	0.18	1.00	0.09	1.00	0.09	4.00	0.36	1.00	0.09	0.00	0.00	1.00	0.09	1.00	0.09	0.00	0.00	0.00	0.00	1.00	0.09	532.00	0.26	0.02	0.27	0.56	0.01	0.16	0.56	0.02	0.24	0.02	0.00	0.00	0.01	0.00	0.00	0.56
47	3	55.20	3.41	0.43	0.40	0.20	0.62	0.11	0.82	2.65	2.76	0.86	0.06	0.09	0.73	0.04	0.00	1.00	2.00	5.00	1.00	0.00	0.09	0.22	0.04	0.00	10.00	5.00	0.50	4.00	0.40	9.00	0.90	1.00	0.10	0.00	0.00	0.00	0.00	1.00	0.10	1.00	0.10	5.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.10	2.00	0.20	1.00	0.10	80.00	0.65	0.29	0.94	0.06	0.00	0.00	0.06	0.18	0.65	0.00	0.00	0.00	0.00	0.01	0.03	0.06
48	3	54.42	3.12	0.37	0.47	0.26	0.57	0.15	0.65	2.79	2.57	0.62	0.08	0.01	0.83	0.07	0.01	1.00	1.00	6.00	4.00	1.00	0.06	0.33	0.22	0.06	13.00	6.00	0.46	1.00	0.08	7.00	0.54	2.00	0.15	1.00	0.08	3.00	0.23	1.00	0.08	1.00	0.08	5.00	0.38	0.00	0.00	0.00	0.00	1.00	0.08	1.00	0.08	0.00	0.00	0.00	0.00	1.00	0.08	153.00	0.88	0.01	0.90	0.04	0.02	0.05	0.01	0.01	0.88	0.00	0.00	0.01	0.02	0.00	0.00	0.01
49	3	41.08	3.53	0.31	0.52	0.30	0.58	0.24	0.93	1.56	3.05	0.90	0.00	0.84	0.12	0.04	0.00	0.00	1.00	3.00	1.00	0.00	0.08	0.25	0.08	0.00	5.00	1.00	0.20	2.00	0.40	3.00	0.60	1.00	0.20	0.00	0.00	1.00	0.20	1.00	0.20	1.00	0.20	1.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.20	0.00	0.00	1.00	0.20	27.00	0.04	0.07	0.11	0.85	0.00	0.04	0.85	0.04	0.04	0.00	0.00	0.00	0.00	0.04	0.00	0.85
50	3	42.03	3.48	0.36	0.51	0.31	0.60	0.24	0.85	2.07	2.66	0.79	0.00	0.53	0.40	0.07	0.00	0.00	1.00	4.00	2.00	0.00	0.07	0.29	0.14	0.00	7.00	1.00	0.14	2.00	0.29	3.00	0.43	1.00	0.14	0.00	0.00	3.00	0.43	1.00	0.14	1.00	0.14	1.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.14	0.00	0.00	1.00	0.14	190.00	0.37	0.01	0.38	0.54	0.00	0.07	0.54	0.01	0.37	0.00	0.00	0.00	0.00	0.01	0.00	0.54
51	3	57.51	2.65	0.31	0.40	0.21	0.51	0.14	0.56	2.51	2.84	0.73	0.25	0.00	0.50	0.25	0.00	1.00	0.00	3.00	3.00	0.00	0.00	0.21	0.21	0.00	7.00	3.00	0.43	1.00	0.14	4.00	0.57	0.00	0.00	1.00	0.14	2.00	0.29	0.00	0.00	1.00	0.14	3.00	0.43	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.70	0.15	0.85	0.00	0.05	0.10	0.00	0.15	0.70	0.00	0.00	0.00	0.05	0.00	0.00	0.00
52	3	43.93	2.92	0.39	0.42	0.22	0.59	0.17	0.67	2.51	2.21	0.58	0.14	0.00	0.64	0.22	0.00	1.00	0.00	5.00	1.00	0.00	0.00	0.42	0.08	0.00	7.00	5.00	0.71	1.00	0.14	6.00	0.86	0.00	0.00	0.00	0.00	1.00	0.14	0.00	0.00	1.00	0.14	5.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	133.00	0.68	0.11	0.78	0.00	0.00	0.22	0.00	0.11	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00
53	3	62.99	2.70	0.29	0.44	0.22	0.48	0.08	0.57	2.66	2.91	0.51	0.05	0.00	0.93	0.00	0.02	1.00	0.00	3.00	0.00	1.00	0.00	0.15	0.00	0.05	5.00	3.00	0.60	1.00	0.20	4.00	0.80	0.00	0.00	1.00	0.20	0.00	0.00	0.00	0.00	1.00	0.20	2.00	0.40	0.00	0.00	0.00	0.00	1.00	0.20	1.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	95.00	0.91	0.03	0.94	0.00	0.06	0.00	0.00	0.03	0.88	0.00	0.00	0.02	0.06	0.00	0.00	0.00
54	3	81.82	3.88	0.39	0.36	0.22	0.57	0.24	0.67	1.86	3.07	1.26	0.09	0.10	0.57	0.24	0.00	2.00	1.00	9.00	3.00	0.00	0.04	0.39	0.13	0.00	15.00	7.00	0.47	4.00	0.27	11.00	0.73	0.00	0.00	1.00	0.07	3.00	0.20	0.00	0.00	1.00	0.07	5.00	0.33	0.00	0.00	1.00	0.07	0.00	0.00	1.00	0.07	2.00	0.13	1.00	0.07	0.00	0.00	61.00	0.34	0.15	0.49	0.00	0.15	0.36	0.00	0.02	0.26	0.00	0.02	0.00	0.15	0.03	0.02	0.00
55	3	49.52	3.13	0.42	0.46	0.28	0.62	0.21	0.67	2.66	2.41	0.73	0.01	0.01	0.76	0.21	0.01	1.00	1.00	3.00	2.00	1.00	0.06	0.18	0.12	0.06	8.00	6.00	0.75	0.00	0.00	6.00	0.75	0.00	0.00	0.00	0.00	2.00	0.25	0.00	0.00	0.00	0.00	4.00	0.50	1.00	0.13	0.00	0.00	1.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	118.00	0.79	0.00	0.79	0.00	0.00	0.21	0.00	0.00	0.77	0.01	0.00	0.01	0.00	0.00	0.00	0.00
56	3	77.24	3.79	0.40	0.34	0.22	0.58	0.18	0.79	1.93	3.54	1.18	0.00	0.33	0.49	0.18	0.00	0.00	2.00	5.00	2.00	0.00	0.11	0.26	0.11	0.00	10.00	3.00	0.30	4.00	0.40	7.00	0.70	1.00	0.10	1.00	0.10	1.00	0.10	1.00	0.10	2.00	0.20	2.00	0.20	0.00	0.00	0.00	0.00	1.00	0.10	1.00	0.10	1.00	0.10	1.00	0.10	1.00	0.10	277.00	0.17	0.44	0.61	0.25	0.07	0.06	0.25	0.23	0.17	0.00	0.00	0.00	0.07	0.14	0.00	0.25
57	3	77.25	4.09	0.43	0.36	0.12	0.59	0.16	0.86	2.23	3.27	1.19	0.00	0.16	0.59	0.25	0.00	0.00	3.00	4.00	3.00	0.00	0.14	0.18	0.14	0.00	10.00	4.00	0.40	4.00	0.40	8.00	0.80	1.00	0.10	0.00	0.00	1.00	0.10	1.00	0.10	1.00	0.10	3.00	0.30	1.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.20	1.00	0.10	1.00	0.10	41.00	0.32	0.54	0.85	0.12	0.00	0.02	0.12	0.02	0.29	0.02	0.00	0.00	0.00	0.49	0.02	0.12
58	3	89.19	4.58	0.36	0.34	0.21	0.54	0.16	0.65	2.12	2.52	0.76	0.22	0.11	0.45	0.19	0.03	1.00	2.00	6.00	2.00	1.00	0.11	0.32	0.11	0.05	12.00	5.00	0.42	4.00	0.33	9.00	0.75	1.00	0.08	2.00	0.17	0.00	0.00	1.00	0.08	0.00	0.00	4.00	0.33	0.00	0.00	0.00	0.00	1.00	0.08	1.00	0.08	3.00	0.25	1.00	0.08	1.00	0.08	37.00	0.51	0.22	0.73	0.03	0.24	0.00	0.03	0.00	0.49	0.00	0.00	0.03	0.16	0.14	0.03	0.03
60	3	56.24	3.06	0.30	0.47	0.26	0.53	0.15	0.74	2.21	3.23	0.86	0.03	0.41	0.50	0.03	0.03	1.00	2.00	2.00	1.00	1.00	0.10	0.10	0.05	0.05	7.00	3.00	0.43	1.00	0.14	4.00	0.57	1.00	0.14	1.00	0.14	1.00	0.14	1.00	0.14	0.00	0.00	2.00	0.29	0.00	0.00	0.00	0.00	1.00	0.14	1.00	0.14	0.00	0.00	1.00	0.14	1.00	0.14	32.00	0.53	0.03	0.56	0.38	0.03	0.03	0.38	0.00	0.50	0.00	0.00	0.03	0.03	0.00	0.03	0.38
61	3	56.71	3.35	0.35	0.45	0.22	0.57	0.13	0.75	2.50	2.98	0.74	0.12	0.26	0.23	0.35	0.00	1.00	3.00	6.00	2.00	0.00	0.10	0.19	0.06	0.00	17.00	8.00	0.47	5.00	0.29	13.00	0.76	1.00	0.06	1.00	0.06	2.00	0.12	1.00	0.06	1.00	0.06	5.00	0.29	1.00	0.06	1.00	0.06	1.00	0.06	1.00	0.06	2.00	0.12	2.00	0.12	1.00	0.06	307.00	0.62	0.13	0.75	0.24	0.01	0.01	0.24	0.03	0.60	0.01	0.01	0.00	0.01	0.05	0.01	0.24
62	3	90.84	5.09	0.39	0.30	0.13	0.53	0.19	0.77	1.61	2.30	0.97	0.01	0.02	0.82	0.10	0.00	1.00	2.00	11.00	3.00	0.00	0.09	0.48	0.13	0.00	18.00	8.00	0.44	7.00	0.39	15.00	0.83	1.00	0.06	1.00	0.06	1.00	0.06	1.00	0.06	2.00	0.11	5.00	0.28	0.00	0.00	2.00	0.11	0.00	0.00	1.00	0.06	4.00	0.22	1.00	0.06	1.00	0.06	76.00	0.33	0.41	0.74	0.01	0.21	0.04	0.01	0.05	0.13	0.00	0.14	0.00	0.21	0.34	0.01	0.01
63	3	111.97	4.11	0.49	0.27	0.09	0.66	0.04	0.90	2.76	5.43	1.80	0.00	0.59	0.41	0.00	0.00	0.00	1.00	4.00	0.00	0.00	0.14	0.57	0.00	0.00	5.00	1.00	0.20	3.00	0.60	4.00	0.80	0.00	0.00	1.00	0.20	0.00	0.00	0.00	0.00	1.00	0.20	1.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.20	1.00	0.20	1.00	0.20	0.00	0.00	67.00	0.21	0.76	0.97	0.00	0.03	0.00	0.00	0.01	0.21	0.00	0.00	0.00	0.03	0.16	0.01	0.00
64	3	55.26	2.35	0.30	0.45	0.20	0.49	0.06	0.60	2.77	2.99	0.52	0.00	0.00	1.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.15	0.00	0.00	2.00	1.00	0.50	1.00	0.50	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.50	1.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	85.00	0.91	0.09	1.00	0.00	0.00	0.00	0.00	0.09	0.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00
65	3	58.51	3.35	0.42	0.36	0.14	0.60	0.09	0.80	2.36	2.86	1.16	0.00	0.04	0.64	0.30	0.01	0.00	1.00	5.00	3.00	1.00	0.04	0.19	0.12	0.04	11.00	5.00	0.45	3.00	0.27	8.00	0.73	0.00	0.00	1.00	0.09	2.00	0.18	0.00	0.00	1.00	0.09	3.00	0.27	0.00	0.00	1.00	0.09	1.00	0.09	1.00	0.09	0.00	0.00	2.00	0.18	0.00	0.00	189.00	0.68	0.24	0.92	0.00	0.01	0.08	0.00	0.19	0.48	0.00	0.19	0.01	0.01	0.00	0.01	0.00
66	3	75.11	3.03	0.35	0.42	0.18	0.54	0.07	0.69	2.72	3.59	0.88	0.03	0.07	0.41	0.45	0.01	1.00	1.00	7.00	3.00	1.00	0.03	0.24	0.10	0.03	15.00	7.00	0.47	5.00	0.33	12.00	0.80	0.00	0.00	1.00	0.07	2.00	0.13	0.00	0.00	1.00	0.07	4.00	0.27	0.00	0.00	1.00	0.07	1.00	0.07	0.00	0.00	2.00	0.13	2.00	0.13	0.00	0.00	141.00	0.82	0.16	0.97	0.00	0.01	0.01	0.00	0.05	0.74	0.00	0.04	0.01	0.00	0.03	0.01	0.00
67	3	100.89	3.91	0.45	0.32	0.13	0.60	0.09	0.91	2.50	4.54	1.60	0.00	0.06	0.61	0.04	0.02	0.00	1.00	7.00	2.00	1.00	0.06	0.41	0.12	0.06	14.00	6.00	0.43	6.00	0.43	12.00	0.86	0.00	0.00	1.00	0.07	1.00	0.07	0.00	0.00	1.00	0.07	2.00	0.14	0.00	0.00	0.00	0.00	1.00	0.07	1.00	0.07	3.00	0.21	2.00	0.14	0.00	0.00	53.00	0.40	0.57	0.96	0.00	0.02	0.02	0.00	0.02	0.32	0.00	0.00	0.02	0.02	0.26	0.04	0.00
69	3	41.98	3.07	0.37	0.47	0.24	0.59	0.03	0.64	2.40	2.10	0.39	0.00	0.01	0.99	0.00	0.00	0.00	1.00	2.00	0.00	0.00	0.07	0.14	0.00	0.00	3.00	1.00	0.33	2.00	0.67	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.33	1.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.33	0.00	0.00	68.00	0.94	0.06	1.00	0.00	0.00	0.00	0.00	0.04	0.94	0.00	0.00	0.00	0.00	0.00	0.01	0.00
70	3	79.31	3.57	0.42	0.37	0.13	0.60	0.07	0.81	2.76	3.81	1.26	0.00	0.24	0.38	0.32	0.01	0.00	1.00	6.00	2.00	1.00	0.08	0.50	0.17	0.08	11.00	6.00	0.55	3.00	0.27	9.00	0.82	0.00	0.00	1.00	0.09	1.00	0.09	0.00	0.00	1.00	0.09	3.00	0.27	0.00	0.00	1.00	0.09	1.00	0.09	1.00	0.09	1.00	0.09	1.00	0.09	0.00	0.00	131.00	0.66	0.33	0.98	0.00	0.01	0.01	0.00	0.05	0.50	0.00	0.10	0.01	0.01	0.03	0.01	0.00
71	3	29.81	3.43	0.51	0.16	0.00	0.66	0.00	1.00	1.62	1.60	0.82	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.13	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
72	3	46.32	3.43	0.36	0.43	0.22	0.59	0.14	0.88	1.88	2.87	0.85	0.00	0.50	0.50	0.00	0.00	0.00	2.00	5.00	0.00	0.00	0.10	0.24	0.00	0.00	7.00	3.00	0.43	3.00	0.43	6.00	0.86	1.00	0.14	0.00	0.00	0.00	0.00	1.00	0.14	1.00	0.14	2.00	0.29	0.00	0.00	1.00	0.14	0.00	0.00	0.00	0.00	1.00	0.14	1.00	0.14	1.00	0.14	57.00	0.26	0.26	0.53	0.47	0.00	0.00	0.47	0.19	0.25	0.00	0.02	0.00	0.00	0.04	0.02	0.47
73	3	80.48	4.07	0.34	0.36	0.19	0.52	0.13	0.67	2.11	2.62	0.81	0.01	0.09	0.73	0.07	0.02	1.00	2.00	6.00	1.00	2.00	0.11	0.33	0.06	0.11	14.00	8.00	0.57	4.00	0.29	12.00	0.86	0.00	0.00	1.00	0.07	1.00	0.07	0.00	0.00	1.00	0.07	3.00	0.21	0.00	0.00	1.00	0.07	2.00	0.14	1.00	0.07	1.00	0.07	2.00	0.14	0.00	0.00	101.00	0.62	0.13	0.75	0.00	0.19	0.06	0.00	0.04	0.46	0.00	0.05	0.02	0.19	0.02	0.02	0.00
74	3	34.41	3.57	0.32	0.51	0.29	0.59	0.23	0.97	1.54	2.83	0.90	0.00	0.88	0.12	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.14	0.14	0.00	0.00	6.00	1.00	0.17	3.00	0.50	4.00	0.67	1.00	0.17	1.00	0.17	0.00	0.00	1.00	0.17	1.00	0.17	1.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.17	1.00	0.17	1.00	0.17	1.00	0.17	297.00	0.01	0.12	0.13	0.87	0.00	0.00	0.87	0.11	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.87
75	3	60.81	2.91	0.35	0.38	0.18	0.54	0.13	0.65	2.40	2.87	0.87	0.22	0.00	0.65	0.13	0.00	1.00	0.00	5.00	4.00	0.00	0.00	0.38	0.31	0.00	10.00	5.00	0.50	2.00	0.20	7.00	0.70	0.00	0.00	1.00	0.10	2.00	0.20	0.00	0.00	2.00	0.20	5.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	137.00	0.61	0.20	0.82	0.00	0.04	0.14	0.00	0.20	0.61	0.00	0.00	0.00	0.04	0.00	0.00	0.00
76	3	46.61	4.05	0.40	0.51	0.15	0.59	0.12	0.88	2.04	2.27	0.78	0.67	0.00	0.25	0.00	0.08	1.00	0.00	1.00	0.00	1.00	0.00	0.07	0.00	0.07	3.00	2.00	0.67	1.00	0.33	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	0.75	0.25	1.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00
77	3	59.09	3.75	0.30	0.45	0.18	0.51	0.16	0.61	2.24	2.25	0.62	0.60	0.02	0.33	0.04	0.01	2.00	2.00	6.00	1.00	1.00	0.10	0.30	0.05	0.05	12.00	7.00	0.58	2.00	0.17	9.00	0.75	0.00	0.00	1.00	0.08	2.00	0.17	0.00	0.00	1.00	0.08	3.00	0.25	1.00	0.08	1.00	0.08	1.00	0.08	1.00	0.08	0.00	0.00	1.00	0.08	0.00	0.00	83.00	0.78	0.02	0.81	0.00	0.13	0.06	0.00	0.01	0.46	0.01	0.08	0.01	0.13	0.00	0.01	0.00
78	3	61.59	3.66	0.40	0.45	0.23	0.62	0.12	0.84	2.59	3.15	1.01	0.00	0.23	0.10	0.59	0.00	0.00	1.00	3.00	2.00	0.00	0.06	0.18	0.12	0.00	8.00	5.00	0.63	2.00	0.25	7.00	0.88	1.00	0.13	0.00	0.00	0.00	0.00	1.00	0.13	0.00	0.00	3.00	0.38	0.00	0.00	2.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.25	1.00	0.13	74.00	0.69	0.08	0.77	0.23	0.00	0.00	0.23	0.00	0.59	0.00	0.09	0.00	0.00	0.00	0.03	0.23
79	3	67.45	3.66	0.44	0.24	0.12	0.61	0.12	0.80	1.78	2.89	1.26	0.02	0.11	0.69	0.18	0.00	1.00	1.00	5.00	2.00	0.00	0.05	0.25	0.10	0.00	9.00	2.00	0.22	3.00	0.33	5.00	0.56	0.00	0.00	1.00	0.11	3.00	0.33	0.00	0.00	1.00	0.11	2.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.11	1.00	0.11	1.00	0.11	0.00	0.00	46.00	0.15	0.54	0.70	0.00	0.11	0.20	0.00	0.41	0.15	0.00	0.00	0.00	0.11	0.02	0.02	0.00
80	3	66.02	4.05	0.45	0.20	0.12	0.61	0.10	0.82	1.56	2.36	1.12	0.02	0.11	0.66	0.18	0.03	1.00	2.00	3.00	3.00	2.00	0.14	0.21	0.21	0.14	11.00	2.00	0.18	4.00	0.36	6.00	0.55	1.00	0.09	1.00	0.09	2.00	0.18	1.00	0.09	2.00	0.18	1.00	0.09	0.00	0.00	0.00	0.00	1.00	0.09	1.00	0.09	1.00	0.09	1.00	0.09	1.00	0.09	189.00	0.04	0.67	0.71	0.04	0.16	0.07	0.04	0.58	0.02	0.00	0.00	0.02	0.16	0.02	0.01	0.04
81	3	75.85	4.04	0.47	0.39	0.22	0.67	0.12	0.73	3.13	3.41	1.03	0.00	0.07	0.14	0.79	0.00	0.00	1.00	1.00	1.00	0.00	0.08	0.08	0.08	0.00	3.00	1.00	0.33	2.00	0.67	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.33	1.00	0.33	0.00	0.00	14.00	0.79	0.21	1.00	0.00	0.00	0.00	0.00	0.00	0.79	0.00	0.00	0.00	0.00	0.14	0.07	0.00
82	3	56.23	3.92	0.42	0.38	0.19	0.64	0.13	0.92	2.15	3.03	1.05	0.00	0.51	0.28	0.17	0.00	0.00	2.00	5.00	1.00	0.00	0.09	0.23	0.05	0.00	9.00	3.00	0.33	4.00	0.44	7.00	0.78	1.00	0.11	1.00	0.11	0.00	0.00	1.00	0.11	1.00	0.11	3.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.11	1.00	0.11	2.00	0.22	1.00	0.11	211.00	0.24	0.35	0.59	0.36	0.04	0.00	0.36	0.16	0.24	0.00	0.00	0.00	0.04	0.01	0.01	0.36
83	3	60.32	3.19	0.42	0.31	0.17	0.61	0.11	0.78	2.24	3.18	1.19	0.00	0.17	0.46	0.36	0.00	0.00	3.00	5.00	3.00	0.00	0.13	0.21	0.13	0.00	15.00	4.00	0.27	7.00	0.47	11.00	0.73	2.00	0.13	1.00	0.07	1.00	0.07	1.00	0.07	2.00	0.13	3.00	0.20	0.00	0.00	0.00	0.00	1.00	0.07	1.00	0.07	2.00	0.13	3.00	0.20	2.00	0.13	350.00	0.30	0.52	0.83	0.08	0.02	0.07	0.08	0.39	0.30	0.00	0.00	0.00	0.02	0.03	0.01	0.08
84	3	82.01	4.32	0.50	0.32	0.11	0.71	0.10	1.05	2.57	4.02	1.63	0.01	0.32	0.12	0.26	0.00	1.00	2.00	4.00	2.00	0.00	0.09	0.17	0.09	0.00	11.00	4.00	0.36	5.00	0.45	9.00	0.82	1.00	0.09	0.00	0.00	1.00	0.09	0.00	0.00	1.00	0.09	4.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.09	3.00	0.27	1.00	0.09	90.00	0.28	0.56	0.83	0.12	0.00	0.04	0.00	0.03	0.28	0.00	0.00	0.00	0.00	0.04	0.03	0.12
85	3	52.06	3.20	0.33	0.46	0.26	0.57	0.20	0.83	1.82	3.30	1.26	0.00	0.57	0.23	0.17	0.01	0.00	2.00	5.00	3.00	1.00	0.08	0.21	0.13	0.04	12.00	7.00	0.58	2.00	0.17	9.00	0.75	1.00	0.08	1.00	0.08	1.00	0.08	1.00	0.08	2.00	0.17	4.00	0.33	1.00	0.08	0.00	0.00	1.00	0.08	1.00	0.08	0.00	0.00	0.00	0.00	1.00	0.08	155.00	0.26	0.07	0.34	0.52	0.01	0.13	0.52	0.07	0.19	0.05	0.00	0.01	0.01	0.00	0.00	0.52
86	3	65.85	3.93	0.38	0.36	0.22	0.58	0.19	0.75	1.91	2.65	1.12	0.08	0.23	0.41	0.27	0.01	1.00	2.00	5.00	3.00	1.00	0.12	0.29	0.18	0.06	12.00	5.00	0.42	3.00	0.25	8.00	0.67	1.00	0.08	1.00	0.08	2.00	0.17	1.00	0.08	2.00	0.17	4.00	0.33	0.00	0.00	0.00	0.00	1.00	0.08	1.00	0.08	0.00	0.00	1.00	0.08	1.00	0.08	130.00	0.34	0.16	0.50	0.22	0.13	0.15	0.22	0.15	0.33	0.00	0.00	0.01	0.13	0.00	0.01	0.22
